timestamp,goal_brew_temp,brew_temp,ambient_temp,top_temp,bottom_temp,cooler_on,heater_on,fan_on,stage_name
2025-02-07 09:27:01,17.00,20.50,20.44,21.44,20.44,0,0,0,Primary
2025-02-07 09:27:06,17.00,20.50,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:27:10,17.00,20.44,20.44,21.38,20.50,0,0,0,Primary
2025-02-07 09:27:15,17.00,20.44,20.44,21.38,20.50,0,0,0,Primary
2025-02-07 09:27:20,17.00,20.44,20.38,21.38,20.50,0,0,0,Primary
2025-02-07 09:27:24,17.00,20.44,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:27:29,17.00,20.44,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:27:34,17.00,20.38,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:27:38,17.00,20.38,20.44,21.38,20.44,0,0,0,Primary
2025-02-07 09:27:43,17.00,20.38,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:27:48,17.00,20.31,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:27:52,17.00,20.38,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:27:57,17.00,20.31,20.38,21.44,20.50,0,0,0,Primary
2025-02-07 09:28:02,17.00,20.31,20.44,21.38,20.50,0,0,0,Primary
2025-02-07 09:28:07,17.00,20.31,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:28:11,17.00,20.31,20.44,21.38,20.50,0,0,0,Primary
2025-02-07 09:28:16,17.00,20.31,20.38,21.38,20.50,0,0,0,Primary
2025-02-07 09:28:21,17.00,20.25,20.44,21.44,20.44,0,0,0,Primary
2025-02-07 09:28:26,17.00,20.31,20.44,21.38,20.50,0,0,0,Primary
2025-02-07 09:28:31,17.00,20.25,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:28:35,17.00,20.25,20.38,21.38,20.50,0,0,0,Primary
2025-02-07 09:28:40,17.00,20.25,20.38,21.38,20.50,0,0,0,Primary
2025-02-07 09:28:45,17.00,20.25,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:28:49,17.00,20.25,20.38,21.38,20.50,0,0,0,Primary
2025-02-07 09:28:54,17.00,20.25,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:28:59,17.00,20.25,20.38,21.38,20.50,0,0,0,Primary
2025-02-07 09:29:03,17.00,20.25,20.38,21.38,20.56,0,0,0,Primary
2025-02-07 09:29:08,17.00,20.25,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:29:17,17.00,20.19,20.38,21.38,20.56,0,0,0,Primary
2025-02-07 09:29:22,17.00,20.19,20.38,21.38,20.56,0,0,0,Primary
2025-02-07 09:29:26,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:29:31,17.00,20.19,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:29:36,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:29:41,17.00,20.19,20.44,21.44,20.56,0,0,0,Primary
2025-02-07 09:29:45,17.00,20.19,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:29:50,17.00,20.12,20.38,21.44,20.50,0,0,0,Primary
2025-02-07 09:29:55,17.00,20.12,20.38,21.38,20.50,0,0,0,Primary
2025-02-07 09:30:00,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:30:04,17.00,20.12,20.38,21.38,20.62,0,0,0,Primary
2025-02-07 09:30:09,17.00,20.12,20.38,21.44,20.50,0,0,0,Primary
2025-02-07 09:30:14,17.00,20.19,20.38,21.44,20.50,0,0,0,Primary
2025-02-07 09:30:19,17.00,20.12,20.38,21.44,20.50,0,0,0,Primary
2025-02-07 09:30:24,17.00,20.19,20.38,-99.99,20.50,0,0,0,Primary
2025-02-07 09:30:29,17.00,20.19,20.38,21.44,20.50,0,0,0,Primary
2025-02-07 09:30:34,17.00,20.19,20.38,21.44,20.50,0,0,0,Primary
2025-02-07 09:30:38,17.00,20.19,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:30:43,17.00,20.19,20.44,21.44,20.56,0,0,0,Primary
2025-02-07 09:30:48,17.00,20.12,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:30:53,17.00,20.12,20.44,21.44,20.56,0,0,0,Primary
2025-02-07 09:30:57,17.00,20.19,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:31:02,17.00,20.19,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:31:07,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:31:11,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:31:16,17.00,20.12,20.44,21.44,20.62,0,0,0,Primary
2025-02-07 09:31:21,17.00,20.12,20.44,21.44,20.56,0,0,0,Primary
2025-02-07 09:31:26,17.00,20.12,20.38,21.44,20.62,0,0,0,Primary
2025-02-07 09:31:30,17.00,20.12,20.44,21.44,20.50,0,0,0,Primary
2025-02-07 09:31:35,17.00,20.12,20.38,21.44,20.62,0,0,0,Primary
2025-02-07 09:31:40,17.00,-99.99,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:31:45,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:31:50,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:31:55,17.00,20.06,20.38,21.44,20.62,0,0,0,Primary
2025-02-07 09:31:59,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:32:04,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:32:09,17.00,20.06,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:32:14,17.00,20.06,20.44,21.44,20.56,0,0,0,Primary
2025-02-07 09:32:19,17.00,20.12,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:32:23,17.00,20.06,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:32:31,17.00,20.06,20.38,21.44,20.62,0,0,0,Primary
2025-02-07 09:32:36,17.00,20.06,20.44,21.50,20.50,0,0,0,Primary
2025-02-07 09:32:41,17.00,20.06,20.38,21.50,20.56,0,0,0,Primary
2025-02-07 09:32:46,17.00,20.06,20.38,21.50,20.56,0,0,0,Primary
2025-02-07 09:32:51,17.00,20.06,20.38,21.50,20.56,0,0,0,Primary
2025-02-07 09:32:56,17.00,20.06,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:33:01,17.00,20.00,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:33:05,17.00,20.06,20.38,21.44,20.56,0,0,0,Primary
2025-02-07 09:33:10,17.00,20.06,20.44,21.44,20.56,0,0,0,Primary
2025-02-07 09:33:15,17.00,20.06,20.38,21.44,20.56,0,0,0,Primary
